model,success_rate_pct,n_responses,n_correct
claude-sonnet-4-5-20250929,24.39,816,199
ether0,7.35,816,60
gemini-2.5-flash,3.43,816,28
gemini-2.5-flash-1024,20.83,816,170
gemini-2.5-flash-24576,35.05,816,286
gemini-2.5-flash-8192,32.23,816,263
gemini-2.5-pro-1024,19.0,816,155
gemini-2.5-pro-128,12.62,816,103
gemini-2.5-pro-2048,25.74,816,210
gemini-2.5-pro-24576,55.51,816,453
gemini-2.5-pro-32768,55.51,816,453
gemini-2.5-pro-4096,37.87,816,309
gemini-2.5-pro-8192,54.78,816,447
gemini-3-flash-preview-LOW,52.21,816,426
gemini-3-flash-preview-MEDIUM,71.57,816,584
gemini-3-flash-preview-MINIMAL,23.77,816,194
gemini-3-pro-preview-HIGH,76.23,816,622
gemini-3-pro-preview-LOW,31.86,816,260
gpt-4o,6.86,816,56
o3-mini-HIGH,56.74,816,463
o3-mini-LOW,27.21,816,222
o3-mini-MEDIUM,43.38,816,354
