model,shortest_path,counting_ring,counting_carbon,nmr_elucidation,reaction,sar,smiles_to_iupac,atom_mapping
claude-sonnet-4-5-20250929,35.19,79.17,38.0,17.71,30.0,27.5,23.0,1.63
ether0,0.0,14.58,0.0,2.08,54.44,5.0,0.0,0.0
gemini-2.5-flash,1.85,8.33,2.0,14.58,3.33,5.0,0.5,0.54
gemini-2.5-flash-1024,28.7,77.08,42.0,10.42,25.56,77.5,5.5,3.26
gemini-2.5-flash-24576,41.67,91.67,58.0,37.5,32.22,87.5,13.0,22.83
gemini-2.5-flash-8192,36.11,93.75,64.0,29.17,27.78,92.5,12.5,17.39
gemini-2.5-pro-1024,14.81,60.42,40.0,19.79,33.33,12.5,13.5,4.89
gemini-2.5-pro-128,9.26,45.83,28.0,15.62,17.78,2.5,10.0,2.72
gemini-2.5-pro-2048,17.59,66.67,50.0,25.0,32.22,17.5,21.5,16.85
gemini-2.5-pro-24576,65.74,95.83,74.0,55.21,51.11,97.5,34.5,50.0
gemini-2.5-pro-32768,62.96,93.75,82.0,51.04,55.56,95.0,38.5,46.2
gemini-2.5-pro-4096,38.89,70.83,58.0,32.29,42.22,65.0,31.0,25.54
gemini-2.5-pro-8192,67.59,91.67,76.0,52.08,48.89,95.0,36.5,47.28
gemini-3-flash-preview-LOW,27.78,100.0,82.0,42.71,65.56,52.5,63.0,32.61
gemini-3-flash-preview-MEDIUM,71.3,100.0,90.0,57.29,78.89,100.0,73.5,54.89
gemini-3-flash-preview-MINIMAL,15.74,72.92,34.0,33.33,40.0,15.0,21.5,4.35
gemini-3-pro-preview-HIGH,89.81,100.0,84.0,70.83,83.33,100.0,68.5,62.5
gemini-3-pro-preview-LOW,50.93,75.0,22.0,27.08,41.11,52.5,30.5,7.07
gpt-4o,8.33,45.83,4.0,9.38,12.22,7.5,0.0,0.0
o3-mini-HIGH,72.22,100.0,92.0,38.54,60.0,100.0,28.5,55.98
o3-mini-LOW,32.41,87.5,70.0,17.71,34.44,70.0,9.0,8.7
o3-mini-MEDIUM,53.7,100.0,80.0,32.29,50.0,97.5,16.0,33.15
