model,success_rate_pct,n_responses,n_correct
claude-sonnet-4-5-20250929,12.7,370,47
ether0,6.49,370,24
gemini-2.5-flash,4.86,370,18
gemini-2.5-flash-1024,10.54,370,39
gemini-2.5-flash-24576,28.92,370,107
gemini-2.5-flash-8192,22.97,370,85
gemini-2.5-pro-1024,15.68,370,58
gemini-2.5-pro-128,9.73,370,36
gemini-2.5-pro-2048,22.7,370,84
gemini-2.5-pro-24576,51.62,370,191
gemini-2.5-pro-32768,49.73,370,184
gemini-2.5-pro-4096,31.35,370,116
gemini-2.5-pro-8192,48.92,370,181
gemini-3-flash-preview-HIGH,74.86,370,277
gemini-3-flash-preview-LOW,43.24,370,160
gemini-3-flash-preview-MEDIUM,61.35,370,227
gemini-3-flash-preview-MINIMAL,20.54,370,76
gemini-3-pro-preview-HIGH,69.73,370,258
gemini-3-pro-preview-LOW,20.54,370,76
gpt-4o,5.41,370,20
o3-mini-HIGH,52.43,370,194
o3-mini-LOW,17.3,370,64
o3-mini-MEDIUM,37.03,370,137
