model,nmr_elucidation,reaction,atom_mapping
claude-sonnet-4-5-20250929,17.71,30.0,1.63
ether0,0.0,26.67,0.0
gemini-2.5-flash,14.58,3.33,0.54
gemini-2.5-flash-1024,10.42,25.56,3.26
gemini-2.5-flash-24576,37.5,32.22,22.83
gemini-2.5-flash-8192,29.17,27.78,17.39
gemini-2.5-pro-1024,19.79,33.33,4.89
gemini-2.5-pro-128,15.62,17.78,2.72
gemini-2.5-pro-2048,25.0,32.22,16.85
gemini-2.5-pro-24576,55.21,51.11,50.0
gemini-2.5-pro-32768,51.04,55.56,46.2
gemini-2.5-pro-4096,32.29,42.22,25.54
gemini-2.5-pro-8192,52.08,48.89,47.28
gemini-3-flash-preview-HIGH,66.67,82.22,75.54
gemini-3-flash-preview-LOW,42.71,65.56,32.61
gemini-3-flash-preview-MEDIUM,57.29,78.89,54.89
gemini-3-flash-preview-MINIMAL,33.33,40.0,4.35
gemini-3-pro-preview-HIGH,70.83,83.33,62.5
gemini-3-pro-preview-LOW,27.08,41.11,7.07
gpt-4o,9.38,12.22,0.0
o3-mini-HIGH,38.54,60.0,55.98
o3-mini-LOW,17.71,34.44,8.7
o3-mini-MEDIUM,32.29,50.0,33.15
